"Title","Subtitle","Downloads"
"An embroidery book","Anne Knox Arthur","165"
"Scientific American Supplement, No. 711, August 17, 1889","Various","165"
"Pictorial Photography in America 1922","Pictorial Photographers of America","164"
"NetWorld! What People Are Really Doing on the Internet and What It Means to You","David H. Rothman","164"
"Making Tin Can Toys","Edward Thatcher","163"
"The Auburndale Watch Company :  first American attempt toward the dollar watch","Edwin A. Battison","163"
"Turning and Boring","Franklin Day Jones","163"
"Giant brains; or, Machines that think","Edmund Callis Berkeley","163"
"A History of Inventions, Discoveries, and Origins, Volume 2 (of 2)","Johann Beckmann","162"
"Scientific American Supplement, No. 623, December 10, 1887","Various","162"
"Flying Machines: Construction and Operation","William J. Jackman, Thomas Herbert Russell, and Octave Chanute","161"
"Marvel Carbureter and Heat Control","Anonymous","161"
"Pictorial Photography in America 1920","Pictorial Photographers of America","159"
"Federal Bureau of Investigation FOIA Documents - Unidentified Flying Objects","United States. Federal Bureau of Investigation","159"
"A Brief History of the Internet","Michael Hart and Maxwell Fuller","159"
"Steam Turbines","Hubert E. Collins","158"
"The eBook is 40 (1971-2011)","Marie Lebert","158"
"Gas-Engines and Producer-Gas Plants","Rodolphe Edgard Mathot","157"
"IBM 1401 Programming Systems","Anonymous","157"
"The Romance of Rubber","United States Rubber Company","157"
"The evolution of the steam locomotive (1803 to 1898)","George Augustus Nokes","156"
"Hawkins Electrical Guide v. 04 (of 10)","N. Hawkins","155"
"Bird Houses Boys Can Build","Albert Frederick Siepert","155"
"Laboratory Manual of Glass-Blowing","Francis C. Frary","154"
"Modern Machine-Shop Practice, Volumes I and II","Joshua Rose","153"
"D.C. Powered Timing Light Model 161.2158 for 12 Volt Ignition Systems","Roebuck and Company Sears","153"
"Home-made Toy Motors","Alfred Powell Morgan","152"
"Essex Terraplane Six 1933 Owner's Manual of Information","Hudson Motor Car Company","152"
"Hawkins Electrical Guide v. 01 (of 10)","N. Hawkins","152"
"Scientific American, Vol. XLIII.—No. 1. [New Series.], July 3, 1880","Various","151"
"Scientific American Supplement, No. 664, September 22,1888","Various","151"
"Electricity for the farm","Frederick Irving Anderson","150"
"The Radio Amateur's Hand Book","A. Frederick Collins","150"
"The Chemistry of Cookery","W. Mattieu Williams","150"
"Pumps and Hydraulics, Part 1 (of 2)","N. Hawkins","148"
"The Romance of Industry and Invention","N/A","148"
"The Fireless Cook Book","Margaret Johnes Mitchell","148"
"The Classification of Patents","United States. Patent Office","146"
"Scientific American Supplement, No. 388, June 9, 1883","Various","146"
"The Project Gutenberg RST Manual","Marcello Perathoner","146"
"A text-book of assaying :  for the use of those connected with mines.","C. Beringer and J. J. Beringer","145"
"Illustrated Science for Boys and Girls","Anonymous","145"
"Fences, Gates and Bridges: A Practical Manual","N/A","144"
"Scientific  American, Volume XLIII., No. 25, December 18, 1880","Various","144"
"Transactions of the American Society of Civil Engineers, vol. LXVIII, Sept. 1910","Charles M. Jacobs","144"
"The Labour-saving House","Mrs. C. S. Peel","143"
"Friction, Lubrication and the Lubricants in Horology","W. T. Lewis","143"
"English and American tool builders","Joseph Wickham Roe","142"
"Una corta historia del eBook (Spanish)","Marie Lebert","141"
"El Internet y los idiomas [alrededor del año 2000] (Spanish)","Marie Lebert","141"
"A Treatise on Bread, and Bread-making","Sylvester Graham","141"
"The boy mechanic, book 3 :  800 things for boys to do","N/A","140"
"The Principles of Leather Manufacture","H. R. Procter","139"
"The Aeroplane Speaks. Fifth Edition","H. Barber","139"
"How To Build A 20-Foot Bi-Plane Glider","Alfred Powell Morgan","139"
"Railway Construction","William Hemingway Mills","139"
"El ebook tiene 40 años (1971-2011) (Spanish)","Marie Lebert","139"
"Handbuch der praktischen Kinematographie (German)","Franz Paul Liesegang","138"
"Samuel F. B. Morse, His Letters and Journals","Samuel Finley Breese Morse","138"
"Cyclopedia of Telephony and Telegraphy, Vol. 1","American School of Correspondence","138"
"The Invention of the Track Circuit","American Railway Association","137"
"The Dyeing of Woollen Fabrics","Franklin Beech","137"
"From Immigrant to Inventor","Michael Pupin","137"
"Multilingualism on the Web","Marie Lebert","136"
"Introduction of the Locomotive Safety Truck","John H. White","136"
"Development of the Phonograph at Alexander Graham Bell's Volta Laboratory","Leslie J. Newville","134"
"The engineer's sketch-book of mechanical movements, devices, appliances, contrivances and details employed in the design and construction of machinery for every purpose :  classified & arranged for reference for the use of engineers, mechanical draughtsmen, managers, mechanics, inventors, patent agents, and all engaged in the mechanical arts","Thomas Walter Barber","134"
"Le tour de France en aéroplane (French)","H. de Graffigny","134"
"The Dawn of Amateur Radio in the U.K. and Greece: A Personal View","Norman F. Joly","134"
"Wireless Telegraph Construction For Amateurs","Alfred Powell Morgan","133"
"TrendSiters Digital Content and Web Technologies","Samuel Vaknin","132"
"Copper Work: A Text Book for Teachers and Students in the Manual Arts","Augustus F. Rose","132"
"The 1893 Duryea Automobile In the Museum of History and Technology","Donald H. Berkebile","131"
"Model aeroplanes","F. J. Camm","131"
"The Modern Bicycle and Its Accessories","Alex Schwalbach and Julius Wilcox","131"
"Scientific American, Vol. XXXIX.No. 6. [New Series.], August 10, 1878","Various","131"
"How It Flies; or, The Conquest of the Air","Richard Ferris","130"
"The Automobile Storage Battery: Its Care And Repair","Otto A. Witte","130"
"Marvels of Scientific Invention","Thomas W. Corbin","129"
"How to Draw a Straight Line: A Lecture on Linkages","A. B. Kempe","129"
"Scientific American Supplement, No. 514, November 7, 1885","Various","129"
"Booknologie: Le livre numérique (1971-2010) (French)","Marie Lebert","129"
"Appletons' Popular Science Monthly, February 1899","Various","129"
"The Popular Science Monthly, October, 1900","Various","129"
"Le Livre 010101: Enquête (French)","Marie Lebert","128"
"The Birth and Babyhood of the Telephone","Thomas Augustus Watson","128"
"Elementary woodworking","Edwin W. Foster","128"
"Free as in Freedom: Richard Stallman's Crusade for Free Software","Sam Williams","128"
"Lives of Boulton and Watt. Principally from the Original Soho Mss.","Samuel Smiles","128"
"Hemp Hurds as Paper-Making Material","Lyster H. Dewey and Jason L. Merrill","127"
"Keely and His Discoveries: Aerial Navigation","Mrs. Bloomfield H. Moore","127"
"Home Canning of Fruits and Vegetables","United States. Agricultural Research Service. Human Nutrition Research Division","126"
"Aeroplane Construction and Operation","John B. Rathbun","126"
"Table traits, with something on them","Dr. Doran","126"
"Screw-Thread Cutting by the Master-Screw Method since 1480","Edwin A. Battison","126"
"Kodaks and Kodak Supplies, 1914","Canadian Kodak Company","126"
"Home Canning of Fruits and Vegetables","United States. Agricultural Research Service. Human Nutrition Research Division","126"
"Appletons' Popular Science Monthly, April 1900","Various","124"
"The New York Subway, Its Construction and Equipment","Interborough Rapid Transit Company","124"
"O odkryciach i wynalazkach (Polish)","Bolesław Prus","123"
"Carpentry","Ira Samuel Griffith","122"
"The Introduction of Self-Registering Meteorological Instruments","Robert P. Multhauf","122"
"Automobiles","James Slough Zerbe","121"
"Spool Knitting","Mary A. McCormack","121"
"The BYU Solar Cooker/Cooler","Steven E. Jones","121"
"Printing in Relation to Graphic Art","George French","120"
"Your 1952 Champion Owner's Guide","Studebaker Corporation","120"
"The boys' life of Edison","Wm. H. Meadowcroft","119"
"Photographic Reproduction Processes","Peter C. Duchochois","119"
"NREN for All: Insurmountable Opportunity","Jean Armour Polly","119"
"Premo Cameras, 1914","Canadian Kodak Company","119"
"Pictorial Photography in America 1921","Pictorial Photographers of America","119"
"The Petrol Engine","Francis John Kean","119"
"The automobile owner's guide","Frank B. Scholl","118"
"The Feasts of Autolycus: The Diary of a Greedy Woman","Elizabeth Robins Pennell","118"
"From Paper-mill to Pressroom","William Bond Wheelwright","117"
"Photography in the Studio and in the Field","Edward M. Estabrooke","117"
"Le web, une encyclopédie multilingue (French)","Marie Lebert","117"
"Scientific American Supplement, No. 633,  February 18, 1888","Various","117"
"Las tecnologías y el libro para todos (Spanish)","Marie Lebert","117"
"Color mixing guide","John L. King","116"
"Balloons, Airships, and Flying Machines","Gertrude Bacon","116"
"The Theory and Practice of Model Aeroplaning","V. E. Johnson","116"
"Our Knowledge Box; or, Old Secrets and New Discoveries.","Unknown","116"
"Soldering, Brazing and Welding","N/A","115"
"Heroes of the Telegraph","John Munro","115"
"Transactions of the American Society of Civil Engineers, Vol. LXX, December, 1910","American Society of Civil Engineers","115"
"Scientific American, Volume 22, No. 1, January 1, 1870","Various","115"
"Making a Fireplace","Henry H. Saylor","114"
"The Aeroplane Speaks","H. Barber","114"
"Hawkins Electrical Guide v. 02 (of 10)","N. Hawkins","114"
"The Secret Guide to Computers","Russ Walter","113"
"E-mail 101","John E. Goodwin","113"
"Building and Flying an Aeroplane","Charles B. Hayward","113"
"The Young Mechanic","James Lukin","112"
"The Railway Conquest of the World","Frederick Arthur Ambrose Talbot","111"
"Flying Machines Today","William D. Ennis","111"
"Fire prevention and fire extinction","James Braidwood","111"
"Watch and Clock Escapements","Anonymous","111"
"Radio Shack TRS-80 Expansion Interface: Operator's Manual","Anonymous","111"
"The Scholfield Wool-Carding Machines","Grace Rogers Cooper","111"
"The filtration of public water-supplies","Allen Hazen","110"
"La web, una enciclopedia multilingüe (Spanish)","Marie Lebert","110"
"Oxy-Acetylene Welding and Cutting","Harold P. Manly","110"
"The Barnet Book of Photography: A Collection of Practical Articles","Various","110"
"The filtration of public water-supplies","Allen Hazen","110"
"Les technologies et le livre pour tous (French)","Marie Lebert","110"
"Scientific American Supplement, No. 821, September 26, 1891","Various","109"
"Scientific American, Vol. XXXIX.—No. 24. [New Series.], December 14, 1878","Various","109"
"Scientific American, Volume 56, No. 9, February 26, 1887","Various","109"
"The Production of Vinegar from Honey","Gerard W. Bancks","108"
"Cooley's Cyclopædia of Practical Receipts and Collateral Information in the Arts, Manufactures, Professions, and Trades..., Sixth Edition, Volume II","Arnold James Cooley and Richard Vine Tuson","108"
"Lightning Conductors: Their History, Nature, and Mode of Application","F.C.S. Richard Anderson","108"
"The Steam Engine Explained and Illustrated (Seventh Edition)","Dionysius Lardner","108"
"Metal Spinning","C. Tuells and William A. Painter","107"
"Photo-engraving, Photo-etching and Photo-lithography in Line and Half-tone","W. T. Wilkinson","107"
"Pigments, Paint and Painting: A practical book for practical men","George Terry","107"
"History of the American Clock Business for the Past Sixty Years, and Life of Chauncey Jerome","Chauncey Jerome","106"
"Le livre, de l'imprimé au numérique (French)","Marie Lebert","106"
"Gasoline and Oil Stoves, ""New Process"" and ""Standard."" 1901","Standard Lighting Company","106"
"Essentials of woodworking :  A textbook for schools","Ira Samuel Griffith","106"
"Scientific American Supplement, No. 360, November 25, 1882","Various","105"
"Time and Time-Tellers","active 1857-1887 James W. Benson","105"
"On-Line Data-Acquisition Systems in Nuclear Physics, 1969","National Research Council . Ad Hoc Panel on On-line Computers in Nuclear Research","105"
"Great Inventions and Discoveries","Willis Duff Piercy","105"
"Soup and Soup Making","Emma P. Ewing","105"
"Scientific American Supplement, No. 344, August 5, 1882","Various","105"
"Lessons in Wireless Telegraphy","Alfred Powell Morgan","104"
"Acids, Alkalis and Salts","George Henry Joseph Adlam","104"
"Tube, Train, Tram, and Car; or, Up-to-date locomotion","Arthur H. Beavan","104"
"Magic Shadows: The Story of the Origin of Motion Pictures","Martin Quigley","104"
"On the Economy of Machinery and Manufactures","Charles Babbage","104"
"Glue, gelatine, animal charcoal, phosphorous, cements, pastes and mucilages :  comprising the raw materials and manufacture of skin and bone glue, different varieties of glue, animal charcoal, phosphorus, gelatine and products prepared from it; isinglass and fish-glue, methods of testing glue and gelatine, and the preparation and application of cements, pastes and mucilages for use in the workshop, laboratory, and office","F. Dawidowsky","104"
